id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
in1,1,0,0,0,0,0,0,0,1,0,0
in2,1,0,0,0,0,0,1,1,0,0,0
in3,1,0,0,0,0,1,1,1,0,0,0
in4,1,0,0,0,0,1,1,0,0,0,0
in5,1,0,0,0,0,1,0,0,1,0,0
in6,1,0,0,0,0,0,0,1,0,0,0
m7,0,0,1,0,0,1,0,1,1,1,10
m8,0,0,1,0,0,0,1,1,1,1,10
m9,0,0,1,0,0,0,1,1,0,1,0
m10,0,0,1,0,0,1,0,0,1,1,10
m11,0,0,1,0,0,0,0,1,1,1,0
m12,0,1,0,0,0,0,1,0,1,0,0
m13,0,0,1,0,0,0,0,1,1,1,0
m14,0,0,1,0,0,0,0,1,0,1,0
m15,0,1,0,0,0,0,0,1,1,0,0
m16,0,1,0,0,0,0,0,1,0,0,0
m17,0,1,0,0,0,0,1,1,0,0,0
m18,0,0,1,0,0,0,0,1,0,1,10
m19,0,0,1,0,0,0,1,1,0,1,10
m20,0,0,1,0,0,0,0,0,1,1,10
m21,0,0,1,0,0,0,0,1,1,1,0
m22,0,0,1,0,0,1,0,0,0,1,10
m23,0,0,1,0,0,0,1,0,0,1,10
m24,0,0,1,0,0,0,1,1,0,1,10
m25,0,0,1,0,0,0,1,0,1,1,0
m26,0,0,1,0,0,0,1,0,1,1,0
m27,0,0,1,0,0,0,0,1,0,1,10
m28,0,1,0,0,0,0,1,1,1,0,0
m29,0,0,1,0,0,1,0,0,1,1,10
o30,0,0,0,1,0,0,0,0,0,0,0
o31,0,0,0,1,0,0,0,0,0,0,0
o32,0,0,0,1,0,0,0,0,0,0,0
o33,0,0,0,1,0,0,0,0,0,0,0
o34,0,0,0,1,0,0,0,0,0,0,0
